title,year,trakt_id,slug,imdb_id,tmdb_id,user_rating_trakt,user_rating_normalized,rated_at,plays,last_watched_at
Scarface,1983,80,scarface-1983,tt0086250,111,7,3.5,2026-01-24T12:22:53.000Z,,
The Menu,2022,439843,the-menu-2022,tt9764362,593643,6,3.0,2026-01-24T12:22:50.000Z,,
Boogie Nights,1997,2925,boogie-nights-1997,tt0118749,4995,7,3.5,2025-09-25T15:12:17.000Z,,
Super,2010,30741,super-2010,tt1512235,45132,6,3.0,2025-09-12T11:41:35.000Z,,
American Wedding,2003,4097,american-wedding-2003,tt0328828,8273,5,2.5,2025-08-31T15:42:37.000Z,,
American Pie,1999,1454,american-pie-1999,tt0163651,2105,6,3.0,2025-08-30T19:57:06.000Z,,
Slumdog Millionaire,2008,7198,slumdog-millionaire-2008,tt1010048,12405,7,3.5,2025-08-29T22:30:40.000Z,,
A Quiet Place,2018,293955,a-quiet-place-2018,tt6644200,447332,7,3.5,2025-06-22T11:47:25.000Z,,
Deconstructing Harry,1997,1780,deconstructing-harry-1997,tt0118954,2639,5,2.5,2025-05-10T01:31:55.000Z,,
Love and Death,1975,6759,love-and-death-1975,tt0073312,11686,7,3.5,2025-05-03T02:52:36.000Z,,
Conclave,2024,783046,conclave-2024,tt20215234,974576,6,3.0,2025-04-27T19:39:46.000Z,,
Companion,2025,871757,companion-2025,tt26584495,1084199,7,3.5,2025-04-20T14:00:41.000Z,,
